,macid,tt,hr,br,temp,local
10145,54:6c:0e:d0:34:28,2021-11-20 15:21:05,0,0,2753,c003
10146,54:6c:0e:d0:34:28,2021-11-20 15:21:06,0,0,2753,c003
10147,54:6c:0e:d0:34:28,2021-11-20 15:21:07,0,0,2753,c003
10148,54:6c:0e:d0:34:28,2021-11-20 15:21:08,0,0,2753,c003
10149,54:6c:0e:d0:34:28,2021-11-20 15:21:09,0,0,2752,c003
10150,54:6c:0e:d0:34:28,2021-11-20 15:21:10,0,0,2752,c003
10151,54:6c:0e:d0:34:28,2021-11-20 15:21:11,0,0,2752,c003
10152,54:6c:0e:d0:34:28,2021-11-20 15:21:12,0,0,2752,c003
10153,54:6c:0e:d0:34:28,2021-11-20 15:21:13,0,0,2752,c003
10154,54:6c:0e:d0:34:28,2021-11-20 15:21:14,0,0,2752,c003
10155,54:6c:0e:d0:34:28,2021-11-20 15:21:15,0,0,2752,c003
10156,54:6c:0e:d0:34:28,2021-11-20 15:21:16,0,0,2752,c003
10157,54:6c:0e:d0:34:28,2021-11-20 15:21:17,0,0,2751,c003
10158,54:6c:0e:d0:34:28,2021-11-20 15:21:18,0,0,2751,c003
10159,54:6c:0e:d0:34:28,2021-11-20 15:21:19,0,0,2751,c003
10160,54:6c:0e:d0:34:28,2021-11-20 15:21:20,0,0,2752,c003
10161,54:6c:0e:d0:34:28,2021-11-20 15:21:21,0,0,2751,c003
10162,54:6c:0e:d0:34:28,2021-11-20 15:21:22,0,0,2751,c003
10163,54:6c:0e:d0:34:28,2021-11-20 15:21:23,0,0,2750,c003
10164,54:6c:0e:d0:34:28,2021-11-20 15:21:24,0,0,2751,c003
10165,54:6c:0e:d0:34:28,2021-11-20 15:21:25,0,0,2751,c003
10166,54:6c:0e:d0:34:28,2021-11-20 15:21:26,0,0,2750,c003
10167,54:6c:0e:d0:34:28,2021-11-20 15:21:27,0,0,2751,c003
10168,54:6c:0e:d0:34:28,2021-11-20 15:21:28,0,0,2750,c003
10169,54:6c:0e:d0:34:28,2021-11-20 15:21:29,0,0,2751,c003
10170,54:6c:0e:d0:34:28,2021-11-20 15:21:30,0,0,2751,c003
10171,54:6c:0e:d0:34:28,2021-11-20 15:21:31,0,0,2751,c003
10172,54:6c:0e:d0:34:28,2021-11-20 15:21:32,0,0,2751,c003
10173,54:6c:0e:d0:34:28,2021-11-20 15:21:33,0,0,2750,c003
10174,54:6c:0e:d0:34:28,2021-11-20 15:21:34,0,0,2750,c003
10175,54:6c:0e:d0:34:28,2021-11-20 15:21:35,0,0,2750,c003
10176,54:6c:0e:d0:34:28,2021-11-20 15:21:36,0,0,2749,c003
10177,54:6c:0e:d0:34:28,2021-11-20 15:21:37,0,0,2749,c003
10178,54:6c:0e:d0:34:28,2021-11-20 15:21:38,0,0,2749,c003
10179,54:6c:0e:d0:34:28,2021-11-20 15:21:39,0,0,2750,c003
10180,54:6c:0e:d0:34:28,2021-11-20 15:21:40,0,0,2749,c003
10181,54:6c:0e:d0:34:28,2021-11-20 15:21:41,0,0,2749,c003
10182,54:6c:0e:d0:34:28,2021-11-20 15:21:42,0,0,2750,c003
10183,54:6c:0e:d0:34:28,2021-11-20 15:21:43,0,0,2749,c003
10184,54:6c:0e:d0:34:28,2021-11-20 15:21:44,0,0,2749,c003
10185,54:6c:0e:d0:34:28,2021-11-20 15:21:45,0,0,2748,c003
10186,54:6c:0e:d0:34:28,2021-11-20 15:21:46,0,0,2748,c003
10187,54:6c:0e:d0:34:28,2021-11-20 15:21:47,0,0,2748,c003
10188,54:6c:0e:d0:34:28,2021-11-20 15:21:48,0,0,2748,c003
10189,54:6c:0e:d0:34:28,2021-11-20 15:21:49,0,0,2748,c003
10190,54:6c:0e:d0:34:28,2021-11-20 15:21:50,0,0,2748,c003
10191,54:6c:0e:d0:34:28,2021-11-20 15:21:51,0,0,2748,c003
10192,54:6c:0e:d0:34:28,2021-11-20 15:21:52,0,0,2747,c003
10193,54:6c:0e:d0:34:28,2021-11-20 15:21:53,0,0,2748,c003
10194,54:6c:0e:d0:34:28,2021-11-20 15:21:54,0,0,2748,c003
10195,54:6c:0e:d0:34:28,2021-11-20 15:21:55,0,0,2748,c003
10196,54:6c:0e:d0:34:28,2021-11-20 15:21:56,0,0,2747,c003
